Time,Value
2021-12-05 13:26:26,18
2021-07-11 08:17:55,31
2021-11-26 00:50:11,77
2021-04-22 05:52:13,25
2021-05-22 21:53:17,79
2021-03-13 17:18:16,17
2021-05-21 17:36:11,76
2021-07-13 12:11:34,44
2021-11-28 15:48:28,68
2021-01-03 10:11:18,42
2021-11-17 12:03:08,5
2021-03-30 15:23:13,20
2021-03-13 06:33:49,86
2021-03-27 03:47:28,84
2021-08-06 01:07:36,43
2021-05-13 16:40:59,83
2021-10-12 20:36:39,63
2021-08-14 03:32:02,52
2021-08-19 20:44:42,77
2021-07-01 18:49:46,64
2021-02-09 05:38:17,70
2021-07-20 10:25:30,70
2021-02-18 10:10:30,94
2021-02-28 11:22:02,90
2021-11-21 03:56:44,7
2021-01-17 13:50:25,81
2021-04-09 07:44:22,0
2021-05-26 04:32:32,78
2021-05-14 08:10:22,63
2021-07-07 11:15:00,30
2021-04-20 14:47:58,12
2021-07-08 16:17:38,96
2021-05-21 01:46:07,5
2021-11-09 21:08:43,23
2021-11-24 19:30:19,26
2021-03-13 08:20:17,17
2021-12-30 22:25:55,58
2021-03-02 16:06:38,94
2021-08-08 14:01:41,6
2021-01-26 15:01:13,83
2021-08-28 00:10:56,63
2021-02-12 22:06:57,95
2021-12-29 20:27:20,95
2021-11-06 13:12:14,36
2021-07-26 11:48:00,44
2021-10-30 19:20:54,40
2021-11-13 17:35:47,42
2021-10-05 13:05:35,7
2021-05-18 14:38:03,10
2021-01-10 18:02:42,55
2021-07-12 10:07:26,55
2021-10-05 04:20:30,27
2021-05-27 10:41:22,45
2021-10-30 19:54:36,24
2021-09-29 23:20:48,40
2021-04-10 16:53:47,22
2021-06-10 06:07:29,16
2021-02-22 15:34:21,91
2021-04-25 12:49:46,58
2021-08-09 13:07:45,63
2021-09-14 12:28:51,11
2021-04-06 14:26:34,46
2021-08-22 00:23:01,49
2021-09-14 07:13:35,28
2021-09-08 22:11:35,24
2021-01-01 05:17:47,70
2021-08-30 20:54:48,36
2021-07-31 10:59:05,42
2021-06-19 09:28:40,47
2021-07-25 23:48:17,44
2021-09-15 03:46:26,66
2021-07-09 14:19:41,45
2021-08-17 01:27:39,17
2021-10-12 07:35:58,26
2021-01-28 23:22:33,64
2021-03-08 12:25:48,41
2021-06-09 18:27:18,21
2021-08-17 11:08:58,25
2021-12-30 06:11:52,60
2021-06-09 04:35:21,52
2021-02-16 07:10:41,62
2021-05-28 14:13:52,84
2021-09-14 15:04:21,98
2021-08-23 22:28:13,12
2021-01-20 12:44:20,87
2021-01-19 22:48:38,86
2021-06-03 23:24:09,70
2021-02-13 22:04:24,0
2021-11-29 18:43:45,35
2021-05-07 07:50:36,32
2021-11-08 13:18:20,16
2021-02-01 10:55:55,79
2021-01-21 19:21:45,15
2021-11-25 14:46:24,79
2021-04-28 06:50:29,39
2021-12-18 13:22:24,61
2021-04-24 13:06:10,14
2021-12-06 04:46:51,52
2021-05-07 20:49:38,29
2021-11-06 13:19:04,9
